points|title|description|taster_name|taster_twitter_handle|price|designation|variety|region_1|region_2|province|country|winery
86|Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna)|This densely hued wine has aromas of black plum and vanilla that carry over to the simple palate along with a touch of cedar. Pliant tannins give it an easygoing nature. Drink soon.|Kerin O’Keefe|@kerinokeefe|17|Prugneto|Sangiovese|Romagna||Central Italy|Italy|Podere dal Nespoli
86|Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA))|The aromas are brooding, with notes of barrel spice and cherry. The flavors are tart and elegant in style, with lightly gritty tannins backing them up. Best suited to the dinner table.|Sean P. Sullivan|@wawinereport|25|Alder Ridge Vineyard|Cabernet Franc|Columbia Valley (WA)|Columbia Valley|Washington|US|Ram
86|Roland Champion NV Brut Rosé  (Champagne)|This fat, yeasty Champagne is comprised predominantly of Pinot Noir. It has ripe red berry fruit, light acidity and a soft, creamy aftertaste. It's ready to drink.|Roger Voss|@vossroger|58|Brut Rosé|Champagne Blend|Champagne||Champagne|France|Roland Champion
86|Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley)|There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors.|Matt Kettmann|@mattkettmann|26|Golden Horn|Sauvignon Blanc|Santa Ynez Valley|Central Coast|California|US|Sevtap
86|Simonnet-Febvre 2015  Chablis|From the warm 2015 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.|Roger Voss|@vossroger|24||Chardonnay|Chablis||Burgundy|France|Simonnet-Febvre
86|Vignerons des Terres Secrètes 2015  Mâcon-Milly Lamartine|This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.|Roger Voss|@vossroger|15||Chardonnay|Mâcon-Milly Lamartine||Burgundy|France|Vignerons des Terres Secrètes
86|Basel Cellars 2013 Inspired Red (Columbia Valley (WA))|A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.|Sean P. Sullivan|@wawinereport|46|Inspired|Bordeaux-style Red Blend|Columbia Valley (WA)|Columbia Valley|Washington|US|Basel Cellars
86|Cocobon 2014 Red (California)|Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.|Jim Gordon|@gordone_cellars|12||Red Blend|California|California Other|California|US|Cocobon
86|Collet NV Brut Rosé  (Champagne)|This cooperative, based in Aÿ, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink.|Roger Voss|@vossroger|55|Brut Rosé|Champagne Blend|Champagne||Champagne|France|Collet
86|Drumheller 2014 Chardonnay (Columbia Valley (WA))|Aromas of vanilla, char and toast lead to light creamy stone fruit and canned-corn flavors. It provides appeal but the oak seems overweighted.|Sean P. Sullivan|@wawinereport|12||Chardonnay|Columbia Valley (WA)|Columbia Valley|Washington|US|Drumheller
86|Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley)|Big oak defines this robustly dense and extracted red, swimming in vanilla and cherry flavor. Full-bodied and gravelly in texture, it's a rustically pleasant wine for pizza nights and crowds.|Virginie Boone|@vboone|40|Old Vine|Cabernet Sauvignon|Alexander Valley|Sonoma|California|US|Eco Terreno
86|Grifalco 2013 Daginestra  (Aglianico del Vulture)|Aromas of black-skinned fruit, leather, underbrush, game and a briny note all carry over to the lean, somewhat disjointed palate along with suggestions of licorice and raw red cherry. Grainy tannins leave a drying finish.|Kerin O’Keefe|@kerinokeefe|32|Daginestra|Aglianico|Aglianico del Vulture||Southern Italy|Italy|Grifalco
86|Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain)|Juicy plum, raspberry and pencil lead lead the way in this vineyard designate, a site that's 2,000 feet high. Tobacco and cedar meet a full-bodied hit of oak and puckering tannin, the wine still youthfully wrapped in its full-bodied boldness.|Virginie Boone|@vboone|75|Bella Vetta Vineyard|Cabernet Sauvignon|Howell Mountain|Napa|California|US|Hindsight
86|Hindsight 2012 Estate Grown Petite Sirah (Calistoga)|This is the producer's first release of this wine. Fruity aromas of plum and tart cranberry add to its overall sense of lightness and understatement.|Virginie Boone|@vboone|55|Estate Grown|Petite Sirah|Calistoga|Napa|California|US|Hindsight
86|Mulvane Wine Co. 2013 The Cypher Red (Napa Valley)|This is made from equal parts Cabernet Franc and Merlot, with small additions of Malbec. Juicy, it reveals a raisiny quality of ripeness around integrated oak and generous tannin.|Virginie Boone|@vboone|75|The Cypher|Bordeaux-style Red Blend|Napa Valley|Napa|California|US|Mulvane Wine Co.
86|Schmitt Söhne 2015 Riesling (Rheinhessen)|Earthy pollen and mineral notes lend a savory tone to this medium-sweet Riesling. It's soft and slightly pulpy, intensified by overripe tangerine and stone fruit flavors. Drink now through 2018.|Anna Lee C. Iijima||9||Riesling|||Rheinhessen|Germany|Schmitt Söhne
86|Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia)|This medium-bodied Chardonnay features aromas of pineapple and roasted cashew. Similar notes of ripe pineapple and nuts mark the palate, then ease to a rather soft, easy finish. Drink now.|Joe Czerwinski|@JoeCz|18|Made With Organic Grapes|Chardonnay|South Australia||South Australia|Australia|Yalumba
86|Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills)|Some rosés are made simply by bleeding the juice from the fermenter, to concentrate the remaining wine. Whether or not that is the case here, the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique. It's fruity and undemanding. Drink up.|Paul Gregutt|@paulgwine |25|Rosé of|Pinot Noir|Eola-Amity Hills|Willamette Valley|Oregon|US|Z'IVO
86|Adega Cooperativa do Cartaxo 2014 Bridão Touriga Nacional (Tejo)|Grown on the sandy soil of Tejo, the wine is typically soft and open. It is very accessible—with black fruits and light tannins for this grape. It is ready to drink.|Roger Voss|@vossroger||Bridão|Touriga Nacional|||Tejo|Portugal|Adega Cooperativa do Cartaxo
86|Aresti 2014 Special Release Reserva Carmenère (Rapel Valley)|Caramelized oak and vanilla aromas are front and center on a barrel-heavy nose. This feels a bit choppy, with astringent tannins. Herbal salty plum flavors wear a lot of oaky makeup, while this finishes with a forced woody flavor.|Michael Schachner|@wineschach|12|Special Release Reserva|Carmenère|||Rapel Valley|Chile|Aresti
86|Spyro 2014 Albariño (Rías Baixas)|Bland, mature aromas of white fruits are on the weak side for Albariño. This feels round and oily, while briny leesy flavors lack pop and precision. A grabby aged finish is short on the free flow that this grape and region are known for. Drink immediately or wait for a newer vintage.|Michael Schachner|@wineschach|16||Albariño|Rías Baixas||Galicia|Spain|Spyro
86|Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France)|This fruity, sweet wine is immediately attractive and ripe. With its great apricot and pineapple fruit, hints of spicy wood and balancing acidity, it's perfect as an apéritif—light and refreshing. Drink now.|Roger Voss|@vossroger|11|La Réserve|Petit Manseng|Vin de France||France Other|France|Lionel Osmin & Cie
86|Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale)|Pale copper in hue, this wine exudes passion fruit on the nose, while the palate delivers nuances of muskmelon as well. It's crisp, racy and medium in body, perfectly suited to summertime refreshment. Drink now.|Joe Czerwinski|@JoeCz|20|Jester Sangiovese|Rosé|McLaren Vale||South Australia|Australia|Mitolo
86|Napa Cellars 2014 Classic Zinfandel (Napa Valley)|A healthy addition of 13% Petite Sirah provides added weight and intensity to this wine, a soft, supple and richly conceived combination of smoky black fruit and mocha.|Virginie Boone|@vboone|24|Classic|Zinfandel|Napa Valley|Napa|California|US|Napa Cellars
86|P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen)|Pronounced dust, pollen and earth tones lend savoriness to this otherwise citrusy wine. Racy acidity and fresh tangerine and lemon flavors turn herbal on the finish. Drink now.|Anna Lee C. Iijima||10|Undone Dry|Riesling|||Rheinhessen|Germany|P.J. Valckenberg
86|Palencia 2016 Albariño (Ancient Lakes)|Vibrant aromas of ripe pear, white flowers and melon are followed by a just off-dry palate, with lean fruit flavors.|Sean P. Sullivan|@wawinereport|20||Albariño|Ancient Lakes|Columbia Valley|Washington|US|Palencia
86|Passaggio 2014 Blau Vineyards Merlot (Knights Valley)|Softened tannins surround a light-bodied, lean and herbal approach to this vineyard-designate, dotted in black pepper, leather and baked cherry.|Virginie Boone|@vboone|55|Blau Vineyards|Merlot|Knights Valley|Sonoma|California|US|Passaggio
86|Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano)|Subdued aromas of French oak, toast and acacia waft out of the glass. The rather lean palate offers oak-driven spice, chopped herb and a hint of citrus set against racy acidity. It's rather shy on fruit richness.|Kerin O’Keefe|@kerinokeefe|29|Le Mandorle Riserva|Vernaccia|Vernaccia di San Gimignano||Tuscany|Italy|Poggio Alloro
88|Fattoria Sardi 2015 Rosato (Toscana)|Made primarily from Sangiovese, with some Malvasia and other white grapes, this offers aromas of red berry and a yeasty whiff of bread dough. The bright, enjoyable palate offers ripe cherry and hint of pastry cream while a note of honeydew melon marks the close.|Kerin O’Keefe|@kerinokeefe|19||Rosato|Toscana||Tuscany|Italy|Fattoria Sardi
88|Ferrari-Carano 2014 Siena Red (Sonoma County)|This blend of Sangiovese, Malbec, Cabernet Sauvignon, Petite Sirah and other varieties plays well to type. It shows a wealth of ripe, dusty black fruit that's richly round and soft on the palate, approachable and lightly oaked.|Virginie Boone|@vboone|23|Siena|Red Blend|Sonoma County|Sonoma|California|US|Ferrari-Carano
88|Folie à Deux 2015 Pinot Gris (Sonoma Coast)|This wine has a touch of perceptible sweetness on its tropical nose, yet tastes dry, showing a straightforward approach to this crisp, coastal-grown variety. Apricot, melon and guava wrap around a lightness of body and texture.|Virginie Boone|@vboone|18||Pinot Gris|Sonoma Coast|Sonoma|California|US|Folie à Deux
88|Franciscan 2013 Magnificat Meritage (Napa Valley)|All red Bordeaux varieties are represented in this blend, except for Petit Verdot. Together, they offer a simple tannic structure that strengthens a chewiness of leather, tobacco and a touch of cedar. Full bodied, it's a ripe, bold and brawny wine.|Virginie Boone|@vboone|55|Magnificat|Meritage|Napa Valley|Napa|California|US|Franciscan
88|Fuchs 2015 Grüner Veltliner (Burgenland)|Freshness characterizes the nose: green pear, ivy leaves and citrus notes play on nose and palate. This is light footed, easy drinking and charming. Drink soon while flavors are fresh.|Anne Krebiehl MW|@AnneInVino|12||Grüner Veltliner|||Burgenland|Austria|Fuchs
88|Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA))|Barrel notes are prominent, with aromas of Creamsicle and baking spice. The palate is broad and dry with stone-fruit and barrel flavors. It provides intrigue but the wood seems to get in the way at times.|Sean P. Sullivan|@wawinereport|22|Grand Klasse Reserve Lawrence Vineyards|Viognier|Columbia Valley (WA)|Columbia Valley|Washington|US|Gård
88|Henry Fessy 2015  Juliénas|This is a dense wine, packed with both tannins and acidity. It brings out the ageworthiness of this appellation with its rich potential and dark mineral texture. Drink this concentrated cru wine from 2018.|Roger Voss|@vossroger|20||Gamay|Juliénas||Beaujolais|France|Henry Fessy
88|Henry Fessy 2015  Régnié|The wine comes from one of the cru estates followed by this negociant house. It is a light, ripe and fruity wine. With its attractive red-berry flavors, finished with crisp acidity, it is accessible and ready to drink.|Roger Voss|@vossroger|18||Gamay|Régnié||Beaujolais|France|Henry Fessy
88|Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes)|A wisp of bramble extends a savory tone from nose to finish on this otherwise bright bristling wine. Delicate honey tones register as off dry on the palate but balance neatly alongside flavors of freshly pressed apples and pears. The finish is marked by a touch of pencil lead. Drink now through 2020.|Anna Lee C. Iijima||20|Ingle Vineyard|Riesling|Finger Lakes|Finger Lakes|New York|US|Heron Hill
88|Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano)|Forest floor, menthol, espresso, cranberry and pressed violet aromas take shape in the glass. The lean linear palate shows dried sour cherry, licorice and coffee bean alongside assertive close-grained tannins. Even though the tannins are still firm, drink sooner rather than later to capture the remaining fruit.|Kerin O’Keefe|@kerinokeefe|30|Dono Riserva|Sangiovese|Morellino di Scansano||Tuscany|Italy|Serpaia di Endrizzi
88|Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley)|This blends 20% each of all five red-Bordeaux varieties, showing grapy, plummy flavor that's juicy and soft on the palate. With a core of tobacco, tar and graphite, it complements the fruity with the savory, ending simply and elegantly.|Virginie Boone|@vboone|75|Intreccio Library Selection|Bordeaux-style Red Blend|Napa Valley|Napa|California|US|Soquel Vineyards
88|Ventosa 2015 Pinot Gris (Finger Lakes)|Fresh apple, lemon and pear flavors are accented by a hint of smoked nuts in this bold, full-bodied Pinot Gris. Rich and a bit creamy in mouthfeel yet balanced briskly, it's a satisfying white with wide pairing appeal. Drink now through 2019.|Anna Lee C. Iijima||18||Pinot Gris|Finger Lakes|Finger Lakes|New York|US|Ventosa
87|Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes)|Dusty mineral, smoke and struck flint lend a savory tone to this lean light-bodied Riesling. Off dry in style, the palate offers delicately concentrated flavors of red apple and nectarine off set by tangerine acidity. Drink now through 2021.|Anna Lee C. Iijima||20|Red Oak Vineyard|Riesling|Finger Lakes|Finger Lakes|New York|US|Lamoreaux Landing
87|Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes)|Intensely smoky tones of struck flint and ash extend throughout this otherwise bright nimble Riesling. The palate boasts freshly pressed apple and pear flavors accentuated by zippy lemon-lime acidity. Drink now through 2021.|Anna Lee C. Iijima||20|Yellow Dog Vineyard|Riesling|Finger Lakes|Finger Lakes|New York|US|Lamoreaux Landing
87|Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley)|A bright nose with green apple and citric aromas comes with mild oak. This is acidic and racy in composition, with roundness along the edges of the palate. Apple and nectarine flavors are lightly oaked and salty, while this holds form on a high-acid finish.|Michael Schachner|@wineschach|18|Single Vineyard Falaris Hill|Chardonnay|||Leyda Valley|Chile|Leyda
87|Madonna Alta 2014 Nativo Red (Toscana)|Made with 65% Sangiovese, 20% Merlot and 15% Cabernet Sauvignon, this has subtle aromas of black-skinned fruit and thyme. The easygoing palate delivers black cherry and cinnamon alongside smooth tannins.|Kerin O’Keefe|@kerinokeefe|16|Nativo|Red Blend|Toscana||Tuscany|Italy|Madonna Alta
87|Marchesi Antinori 2015 Villa Antinori White (Toscana)|Made predominantly with Trebbiano and Malvasia, along with Pinot Bianco, Pinot Grigio and Riesling Renano, this has inviting aromas of ripe orchard fruit and citrus. The round fruity palate doles out ripe apricot, orange zest and juicy pineapple.|Kerin O’Keefe|@kerinokeefe|14|Villa Antinori|White Blend|Toscana||Tuscany|Italy|Marchesi Antinori
87|Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana)|A blend of Cabernet Sauvignon, Merlot, Cabernet Franc and Sangiovese, this pleasant red has aromas of dark-skinned fruit, toast and a whiff of espresso. The light-bodied, straightforward palate offers cherry, red currant and a hint of light spice alongside zesty acidity and polished tannins.|Kerin O’Keefe|@kerinokeefe|30|Castiglioni|Red Blend|Toscana||Tuscany|Italy|Marchesi de' Frescobaldi
87|Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana)|Aromas of yellow stone fruit, white spring flower and a whiff of citrus lift out of the glass. The soft round palate offers ripe apricot, yellow peach and a hint of candied nectarine zest.|Kerin O’Keefe|@kerinokeefe|18|Ammiraglia Massovivo|Vermentino|Toscana||Tuscany|Italy|Marchesi de' Frescobaldi
87|Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley)|Lots of spearmint, coyote mint, hot licorice, ginger snaps and Dr Pepper spice up the strawberry fruit of this wine that provides a very herbal take on the grape. Oregano, marjoram, thyme and dill all make a showing on the sip, against a backbone of sweet cherry and blackberry fruit, finishing on cedar.|Matt Kettmann|@mattkettmann|26|J.D. Hurley|Zinfandel|Santa Clara Valley|Central Coast|California|US|Martin Ranch
87|Ornellaia 2014 Le Volte Red (Toscana)|An easy-drinking blend of Merlot, Sangiovese and Cabernet Sauvignon, this opens with aromas of red berry, toast, herb and roasted coffee bean. The soft palate offers black cherry, mocha and a hint of coffee alongside bright acidity and silky tannins. Drink now.|Kerin O’Keefe|@kerinokeefe|30|Le Volte|Red Blend|Toscana||Tuscany|Italy|Ornellaia
87|Pardon et Fils 2015 Les Quartelets  (Brouilly)|Produced from cru vines at the base of Mount Brouilly, the wine has structure as well as ripe black-plum fruits. It is generous and its fruit is well balanced by acidity and solid tannins. The wines is ready to drink.|Roger Voss|@vossroger|23|Les Quartelets|Gamay|Brouilly||Beaujolais|France|Pardon et Fils
87|Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville)|This 100% varietal wine opens in a heady aroma of leather pouch, clove and marshmallow. Both herbaceous and tannic, it begs for more time in the bottle or substantial swirling in the glass.|Virginie Boone|@vboone|85|Wolff Vineyard|Cabernet Sauvignon|Yountville|Napa|California|US|Piña
87|Podere Ciona 2014 Semifonte Red (Toscana)|Made with 90% Merlot and 10% Alicante, this easygoing red opens with delicate aromas suggesting red currant and baking spice. The straightforward palate delivers red plum and clove alongside soft tannins. Enjoy soon.|Kerin O’Keefe|@kerinokeefe|15|Semifonte|Red Blend|Toscana||Tuscany|Italy|Podere Ciona
87|Poggioventoso 2015 Poetico White (Toscana)|Made with Vermentino, Malvasia di Candia Aromatica and Petit Manseng, this easy-drinking white has aromas of fragrant white wild flower, citrus and white stone fruit. The ripe round palate offers apricot, lime and a hint of saline.|Kerin O’Keefe|@kerinokeefe|19|Poetico|White Blend|Toscana||Tuscany|Italy|Poggioventoso
87|Pull 2012 BDX Red (Paso Robles)|Tar, dried meat, olallieberry and sharp cedar aromas show on this blend of 51% Cabernet Sauvignon and 49% Merlot. Dried strawberries and plums mix with thyme and dried rose petals on the palate.|Matt Kettmann|@mattkettmann|18|BDX|Bordeaux-style Red Blend|Paso Robles|Central Coast|California|US|Pull
87|Pull 2013 Chardonnay (Paso Robles)|Poached pears, yellow apples and a touch of butter show on the classic nose of this Chardonnay that holds to steely frame. Very sharp acidity kicks off the sip, where Pink Lady apples and warm vanilla surround a tight minerality. It's both sharp and slightly sweet.|Matt Kettmann|@mattkettmann|18||Chardonnay|Paso Robles|Central Coast|California|US|Pull
87|R2 2013 Camp 4 Vineyard Grenache Blanc (Santa Ynez Valley)|The distinctive nose on this bottling is tight yet tropical, with mango, pineapple, pear skins, orange rinds, dried lime peels and a gin-like juniper all converging. The palate offers a balance between tightly woven texture and ripe tropicality, with lime rinds, mango and petrol touches.|Matt Kettmann|@mattkettmann|25|Camp 4 Vineyard|Grenache Blanc|Santa Ynez Valley|Central Coast|California|US|R2
87|Rideau 2014 Estate Syrah|Baked red cherry, crushed clove, iron and rose petals make for standard aromas on this bottling, although they are fairly light and simple here. There is a sizzle of acitity on the palate, where juicy strawberry and olallieberry flavors are easy to enjoy, made more complex by graphite and cedar touches.|Matt Kettmann|@mattkettmann|44|Estate|Syrah|Central Coast||California|US|Rideau
87|Tenuta Forconi 2013 Toscano Red (Toscana)|A blend of 50% Cabernet Sauvignon, 30% Merlot and 20% Sangiovese, this offers aromas of black currant, caramel and mocha. The dense palate delivers toast, leather and cedar alongside teeth-coating tannins that grip the finish.|Kerin O’Keefe|@kerinokeefe|80|Toscano|Red Blend|Toscana||Tuscany|Italy|Tenuta Forconi
